name,street,city,state,zip,latitude,longitude,facility_type,offers_methadone,offers_buprenorphine,offers_naltrexone,accepts_medicaid
Divine Recovery Hope Clinic,3936 West Roosevelt Road,Chicago,IL,60624,41.8664755,-87.724168,SA,True,True,False,True
Lawndale Christian Health Center,3517 West Arthington Street,Chicago,IL,60624,41.8691727,-87.7139099,"MH, SA",False,True,True,True
Gateway Foundation,3828 West Taylor Street,Chicago,IL,60624,41.8692461,-87.7216031,SA,False,True,True,True
Garfield Counseling Center,4132 West Madison St.,Chicago,IL,60624-2303,41.8807,-87.7291,"MH, OTP",True,False,False,True
Lawndale Christian Health Center,3219 West Carroll Avenue,Chicago,IL,60624,41.8871459,-87.7071779,"MH, SA",False,True,True,True
NEXA/HAS,4734 W. Chicago Ave,Chicago,IL,60651,41.895354,-87.74459,"MH, OTP, SA",True,True,False,True
Harbor Light Alcoholism and Drug ,825 North Christiana Avenue,Chicago,IL,60651,41.8969828,-87.7095393,SA,False,True,False,True
Rincon Family Services,3809 W. Grand Avenue,Chicago,IL,60651,41.904217,-87.7219,"OTP, SA",True,True,False,True
LSSI,4840 West Byron Street,Chicago,IL,60641,41.9517744,-87.7487684,"MH, SA",False,True,False,True
Behavior Services Center,8707 Skokie Boulevard,Skokie,IL,60077,42.039419,-87.7474271,"MH, SA",False,True,True,True
Elianak Care LLC,22307 Central Park Avenue,Park Forest,IL,60466,41.4836725,-87.7024921,SA,True,True,False,False
Rosecrance Inc,11532 South Western Avenue,Chicago,IL,60643,41.6832734,-87.681304,"MH, SA",False,True,True,True
Evergreen Behavioral Health,2850 West 95th Street,Evergreen Park,IL,60805,41.7214911,-87.6939348,"MH, SA",False,True,True,True
Millennium Behavior Health Services,2441 W. 79th Street,Chicago,IL,60652,41.749846,-87.684587,OTP,True,False,False,False
Behavioral Health and,2701 West 68th Street,Chicago,IL,60629,41.7691032,-87.6922738,"MH, SA",False,True,True,True
Esperanza Brighton Park,4700 South California Avenue,Chicago,IL,60632,41.8080313,-87.6947434,"MH, SA",False,True,True,True
Cermak Health Services of Cook County,2800 South California Ave.,Chicago,IL,60608,41.841212,-87.695305,OTP,True,False,False,False
Esperanza Little Village,3059 West 26th Street,Chicago,IL,60623,41.8440228000028,-87.701886935597,"MH, SA",False,True,True,True
Esperanza California,2001 South California Avenue,Chicago,IL,60608,41.8546596,-87.6952731,"MH, SA",False,True,True,True
Jesse Brown Opioid Addiction Treatment Program VA,820 South Damen Ave.,Chicago,IL,60612,41.8796,-87.6874,OTP,True,False,False,False
"PDSSC-Chicago, Inc.",2260 N. Elston,Chicago,IL,60614,41.9226133,-87.6742016,"OTP, SA",True,True,False,True
Symetria Recovery,3934 North Lincoln Avenue,Chicago,IL,60613,41.9532426,-87.6784232,"OTP, SA",True,True,True,False
Thresholds Bridge South OE,4101 North Ravenswood Avenue,Chicago,IL,60613,41.956124486301,-87.673769629094,"MH, SA",False,True,True,True
Bobby Buonauro Clinic Inc,1029 West Howard Street,Evanston,IL,60202,42.019681,-87.686847,"OTP, SA",True,True,False,True
PEER Services Inc,906 Davis Street,Evanston,IL,60201,42.046846,-87.683694,"OTP, SA",True,True,True,True
Doreen E Chapman Center,2650 Ridge Avenue,Evanston,IL,60201,42.0655462,-87.6842977,SA,False,True,True,False
Elite Treatment Center,395 Lincoln Highway,Chicago Heights,IL,60411,41.506034,-87.659344,OTP,True,False,False,False
Elite Houses of Sober Living,395 West Lincoln Highway,Chicago Heights,IL,60411,41.5062975,-87.6576974,"MH, SA",True,True,True,True
South Suburban Council on,1909 Cheker Square,Hazel Crest,IL,60429,41.5730359,-87.6643608,SA,False,True,True,True
Recovery Concepts,17100 Dixie Highway,Hazel Crest,IL,60429,41.5786916,-87.6663391,SA,True,True,False,True
Recovery Concepts LLC,"17100 Dixie Highway, Suite D",Hazel Crest,IL,60429,41.579729,-87.665358,OTP,True,False,False,False
"Family Guidance Centers, Inc- Harvey",15400 S. Page,Harvey,IL,60426,41.609763,-87.659783,"OTP, SA",True,True,True,True
Chicago Treatment and Counseling Center II,4453 North Broadway,Chicago,IL,60640,41.68436,-87.66232,OTP,True,False,False,False
"Chicago Treatment and Counseling Center, Inc. IV",5635 West Roosevelt Rd.,Cicero,IL,60804,41.68832,-87.66106,OTP,True,False,False,False
"Chicago Treatment and Counseling Center, Inc. III",1849 South Cicero Ave.,Cicero,IL,60804,41.71422,-87.64434,OTP,True,False,False,False
Christian Community Health Center,9718 South Halsted Street,Chicago,IL,60628,41.7168999,-87.6433901,"MH, SA",False,True,True,True
FOLA Community Action Services,8014-8018 S. Ashland Avenue,Chicago,IL,60620,41.748125,-87.663558,"OTP, SA",True,False,False,True
"Human Resources Development Institute, Inc. (BRASS II)",8000 South Racine,Chicago,IL,60620,41.74855,-87.6540179,"OTP, SA",True,False,True,True
"Eva Mae Recovery Hope, Inc.",6614 S. Halsted Street,Chicago,IL,60621-1812,41.773771,-87.644988,"OTP, SA",True,False,False,True
Southwood Interventions,5701 South Wood St.,Chicago,IL,60636,41.7763,-87.6683,OTP,True,False,False,False
ABRAXAS Youth and Family Services,5701 South Wood Street,Chicago,IL,60636,41.7901509,-87.6686699,"MH, SA",True,True,False,True
Chicago Treatment and,3520 South Ashland Avenue,Chicago,IL,60609,41.8297873,-87.6658768,"OTP, SA",True,True,False,True
Family Guidance Centers Inc,1220 South Wood Street,Chicago,IL,60608,41.8663797,-87.6720537,"OTP, SA",True,True,True,True
McDermott Center/Haymarket Ctr,108 North Sangamon Street,Chicago,IL,60607,41.8833902,-87.6512022,"MH, SA",False,True,True,True
Ann and Robert H Lurie Childs Hosp of,1440 North Dayton Street,Chicago,IL,60642,41.907662,-87.6499969,SA,False,True,True,True
SunCloud Health SC,1840 North Clybourn Avenue,Chicago,IL,60614,41.9146326,-87.6550362,"MH, SA",False,True,True,False
Vivia Health Bucktown,2409 North Clybourn Avenue,Chicago,IL,60614,41.9253268,-87.6692523,"MH, SA",False,True,True,True
Howard Brown Health Center,3501 North Halsted Street,Chicago,IL,60657,41.9455805,-87.6491902,"MH, SA",False,True,True,True
Chicago Treatment and,4453 North Broadway Avenue,Chicago,IL,60640,41.9631939,-87.6557453,SA,True,True,False,True
"Sundance Methadone Treatment Center, LLC",4545 North Broadway,Chicago,IL,60640,41.964456,-87.656543,"OTP, SA",True,False,False,True
LSSI,5517 North Kenmore Avenue,Chicago,IL,60640,41.9824505,-87.6561691,SA,False,True,False,True
Vivia Health Rogers Park,6303 North Clark Street,Chicago,IL,60660,41.9965868,-87.6699178,"MH, SA",False,True,True,True
Radius Foundation Inc,1014 Main Street,Crete,IL,60417,41.4558146,-87.6338709,SA,True,False,False,True
Serenity Treatment & Counseling Center,19408 North Creek Drive,Lynwood,IL,60411,41.5430145,-87.5642824,OTP,True,False,False,False
Great Heights OTP,1473 Ring Road,Calumet City,IL,60409,41.5951066,-87.5620258,SA,True,True,True,True
Great Heights OTP - Calumet City,1473 Ring Road,Calumet City,IL,60409,41.59523,-87.560703,OTP,True,False,False,False
ICAN Community Services Inc,15475 South Park Avenue,South Holland,IL,60473,41.6132165,-87.6070181,"MH, SA",True,True,False,True
"ICAN Community Services, Inc.",15475 South Park Avenue,South Holland,IL,60473,41.613998,-87.607386,OTP,True,False,False,False
Christian Community Health Center,901 East Sibley Boulevard,South Holland,IL,60473,41.6221501,-87.5951641,"MH, SA",False,True,True,True
"Human Resources Development Institute, Inc.",33 East 114th St.,Chicago,IL,60628,41.686918,-87.622195,"MH, OTP, SA",True,False,True,True
